Portfolio,Agency,Tier,Project name,DCA 2024,DCA 2025,Delivery status,Total budget (millions),Digital budget (millions),Project end date,Project description
"Agriculture, Fisheries and Forestry","Department of Agriculture, Fisheries and Forestry",Tier 2,"Capital Security, Technology and Asset Refresh (CapSTAR)",,Medium-High,Active,279,189.8,30.06.2028,"The CapSTAR program aims to refresh and maintain essential property and ICT assets, reduce risk in service delivery and ensure critical business systems are supported, patched and resilient. The program outcome will be a sustainable and efficient technology and physical infrastructure portfolios, through reduction of technical debt and an increased level of physical and cyber maturity."
"Agriculture, Fisheries and Forestry","Department of Agriculture, Fisheries and Forestry",Tier 2,Simplified Targeting and Enhanced Processing Systems (STEPS) ,Medium,Medium-Low,Active,144.9,144.9,30.06.2026,"The Simplified Trade and Enhanced Processing System (STEPS) program will transform the border process for cargo importers who depend on the department to mitigate and regulate biosecurity risk in a challenging global marketplace.
At the time of preparing this report, this project is subject to the escalation protocols set out in the Assurance Framework for Digital and ICT-enabled Projects. These protocols are designed to support agencies in the timely resolution of delivery challenges."
"Agriculture, Fisheries and Forestry","Department of Agriculture, Fisheries and Forestry",Tier 1,Busting Congestion for Agricultural Exporters: Digital Services to Take Farmers to Markets,Medium-High,Medium-Low,Active,323,323,30.06.2025,"The Take Farmers to Markets (TFTM) program is transforming Australia’s agricultural 
export systems with the delivery of contemporary digital products and services for trade and exporter engagement. Tranche 1 established the foundations for the digital reforms by uplifting existing systems onto modern and reliable platforms and developing new digital services. Tranche 2 builds upon the capabilities delivered in Tranche 1 through delivery of a dynamic program of work that enables the department to become a risk-based, data-driven, digital regulator."
"Agriculture, Fisheries and Forestry","Department of Agriculture, Fisheries and Forestry",Tier 2,Supporting a Stronger and More Sustainable Agriculture Sector,Not reported,Medium-High,Active,8.8,8.8,30.06.2025,"This proposal seeks to uplift the ICT, data and statistical systems capabilities to meet the needs of department. This will improve the accessibility of agricultural data and
information, improve and remediate survey processing systems, rebuild geospatial infrastructure and gather requirements on future capabilities necessary to transform and enable agricultural data and information products to suit changing needs."
"Agriculture, Fisheries and Forestry","Department of Agriculture, Fisheries and Forestry",Tier 3,Climate Services for Agriculture,,,Active,17.2,4.4,30.06.2028,"The Climate Services for Agriculture (CSA) program aims to build drought resilience by enabling users to anticipate future climate conditions, compare those conditions with historical climate records, and consider potential impacts on the food and fibre products they produce. CSA provides climate projections for specific commodities at a local scale via a free online platform ‘My Climate View’."
"Agriculture, Fisheries and Forestry","Department of Agriculture, Fisheries and Forestry",Tier 3,Future Drought Fund Knowledge Sharing,,,Active,11.4,7.3,30.06.2028,"This proposal seeks to make the knowledge generated by the Future Drought Fund (FDF) more accessible, and to promote wider adoption through a systematic and strategic approach. In particular, the development of a knowledge management system (Dorper2) to collect and store FDF knowledge such as program outputs and outcomes, project data and information, and contract management information."
Attorney-General's,Australian Criminal Intelligence Commission,Tier 2,National Automated Fingerprint Identification System (NAFIS) NextGen,Medium-High,Medium-High,Active,40.2,40.2,30.06.2025,"The NAFIS NextGen will provide improved system serviceability by implementing a modern, future-proof software platform and cloud infrastructure hosting for the matching of national fingerprint data."
Attorney-General's,Australian Criminal Intelligence Commission,Tier 1,National Criminal Intelligence System (NCIS),Medium-High,Medium,Active,373.7,373.7,30.06.2027,The NCIS will provide secure access to a national view of criminal information and intelligence.
Attorney-General's,Australian Criminal Intelligence Commission,Tier 2,National Firearms Register -  NFR,,Medium,Active,166.7,48.8,30.06.2028,"The NFR will provide an end-to-end firearm, licence and permit information sharing and management ecosystem. The Register will deliver timely, consistent, and accurate information on firearms and owners across all jurisdictions to improve police and community safety and law enforcement capability."
Attorney-General's,Administrative Review Tribunal,Tier 2,Case Management Solution Program,Not reported,Medium-High,Active,29.6,29.6,30.06.2027,"This project will establish a new single case management system for the Administrative Review Tribunal (ART), replacing multiple outdated legacy systems that the ART currently relies on. The new, whole-of-agency case management system will improve ART users digital experience and staff productivity to support the ART’s statutory objectives."
Attorney-General's,Australian Transaction Reports and Analysis Centre (AUSTRAC),Tier 2,Anti Money Laundering and Counter Terrorism Financing Reforms Program,,Medium-Low,Active,160.8,65.7,30.06.2026,"The Australian Government is reforming Australia’s Anti Money Laundering and Counter Terrorism Financing (AML/CTF) regime to combat illicit financing and meet international standards, extending regulation to Tranche 2 entities. AUSTRAC will implement these changes, increasing the regulated population from 17,000 to over 100,000. This expansion will profoundly impact AUSTRAC’s regulatory activities, requiring a redesign of its approach."
Attorney-General's,National Anti-Corruption Commission,Tier 2,Establishment of the National Anti-Corruption Commission (NACC),High,High,Closed,201,12.2,30.06.2024,"In establishing the independent National Anti-Corruption Commission, as part of the overall funding provided by Government in the 2022–23 October Budget, $63.5 million was provided for the establishment of an ‘Independent ICT environment for the Commission’"
Attorney-General's,Attorney-General’s Department,Tier 3,Secure Court Information Management System (SCIMS),,,Active,30.7,9.5,30.06.2028,"The Australian Government requires the development and delivery of a digital, secure, accredited and high availability remote access court information management system to support the electronic presentation and protection of classified material (up to and including SECRET) for legal matters which will deal with National Security Information (NSI) materials in the lead up to, and during court proceedings."
Attorney-General's,Australian Federal Police,Tier 3,Investigation Management Solution (IMS) Program,Not reported,,Active,45,45,30.06.2025,"The IMS is providing the Australian Federal Police (AFP) with the ability to manage investigative processes and related investigative information in a single system, enabling a consistent approach to the management of investigative information across the AFP."
Attorney-General's,Commonwealth Director of Public Prosecutions,Tier 3,Evidence Management Modernisation Program (EMMP) formerly Digital Litigation Solution (DLS),Not reported,,Active,22.7,2.9,30.04.2025,This investment is modernising how digital evidentiary material is managed by the Office of the Director of Public Prosecutions (Commonwealth) by introducing a digital solution and establishing an internal digital evidence capability to more effectively manage large volumes of digital evidence. This investment involves transitioning from legacy systems and establishing optimum support arrangements in support of an efficient prosecution service.
Attorney-General's,Australian Criminal Intelligence Commission,Tier 3,Secure Internet Gateway transition,,,Active,6.4,6.4,30.06.2025,Transition of the Secure Internet Gateway (SIG) to provide the agency with secure entry and exit points for services consumed and provided via the internet. This project relates to operations and funding arrangements for the ACIC.
"Climate Change, Energy, the Environment and Water","Department of Climate Change, Energy, the Environment and Water",Tier 3,Environment Information Australia,,,Active,51,6,30.06.2027,"Environment Information Australia (EIA) has been established to provide accessible, interoperable and high-quality environmental data and information. The investment will support EIA to deliver environmental information, analytics and tools to support the operation of nature repair market, state of the environment reporting, and for environmental economic accounting."
"Climate Change, Energy, the Environment and Water",Australian Energy Regulator,Tier 2,Contract Market Monitoring,,Medium,Active,26,6,30.06.2027,"The project aims to collect, store and analyse highly sensitive energy contracts data and provide insights into the performance of the wholesale electricity and gas markets, greater scrutiny of the conduct of the energy market participants and broader understanding in the operation and impact of contract markets and overall resilience of the electricity and gas sectors."
"Climate Change, Energy, the Environment and Water",Australian Energy Regulator,Tier 2,Retail Performance Reporting,Not reported,Medium,Active,3.2,3.2,30.06.2025,"The project will allow the Australian Energy Regulator (AER) to collect data from energy retail businesses efficiently, quickly and effectively conduct critical analysis to deliver stronger outcomes to energy consumers. Using improved data and digital systems, the AER will be able to provide richer and more timely insights into energy consumer outcomes including levels of debt and the assistance retailers are providing in this time of significant cost-of-living pressures."
"Climate Change, Energy, the Environment and Water","Department of Climate Change, Energy, the Environment and Water",Tier 3,Initial Preparations to Host a UNFCCC COP (COP31),,,Active,76.2,2.7,31.12.2025,Operational planning and initial procurements to deliver on the Australian Government’s commitment to host the 31st conference of the parties (COP31) for the United Nations Framework Convention on Climate Change (UNFCC) in 2026 in close partnership with the Pacific.
"Climate Change, Energy, the Environment and Water",Bureau of Meteorology,Tier 1,ROBUST,Medium,Medium-High,Closed,865.7,682,30.06.2024,The ROBUST Program is securing and strengthening all elements of the Bureau of Meteorology (the Bureau) operating environment to provide continuous availability of critical services and mitigate risks arising from the fragility of the existing technology environment.
"Climate Change, Energy, the Environment and Water",Bureau of Meteorology,Tier 1,ROBUST Transition Program,,Medium-High,Active,36.2,36.2,30.06.2025,The ROBUST Transition Program is the successor of the ROBUST Program that closed on 30 June 2024. The primary objective is to deliver the residual scope from the ROBUST Program to enable the Bureau to realise the full outcomes and benefits from the ROBUST Program. A second DCA assessment is currently in progress and expected to be available in early 2025.
"Climate Change, Energy, the Environment and Water",Bureau of Meteorology,Tier 2,Water Market Reform,Not reported,High,Active,32.7,18.2,30.06.2027,"This project is restoring transparency, integrity and confidence to water markets through a new single digital platform for national water data management, a new water market website and water market data standards."
"Climate Change, Energy, the Environment and Water",Clean Energy Regulator,Tier 2,"CER's Integrated Transformation and Sustainment Investment (ITSI) -
Program Tranche 1: Core technological modernisation, streamlined digital services and transparency.",,Medium-High,Active,145,63.4,30.06.2028,"The ITSI includes a broad range of individual initiatives that will deliver new business and technological capability to accelerate carbon abatement and improved biodiversity outcomes for Australia.
Program Tranche 1 establishes new business systems and core technological capability to streamline and improve digital services and transparency across the schemes that the Clean Energy Regulator (CER) administers. This includes initiatives started between 2020 and 2022 that are now well advanced, and at or near build completion."
"Climate Change, Energy, the Environment and Water",Clean Energy Regulator,Tier 2,"CER's Integrated Transformation and Sustainment Investment (ITSI) -
Program Tranche 2: Leverage modernised capabilities and investment value extension ",Medium,Medium-Low,Active,96.1,43.5,30.06.2034,"The ITSI includes a range of individual initiatives that will deliver new business and technological capability to accelerate carbon abatement and improved biodiversity outcomes for Australia. From 2023, Program Tranche 2 extends core technological capability, delivering new schemes and continuing to modernise existing scheme administration and transparency."
"Climate Change, Energy, the Environment and Water","Department of Climate Change, Energy, the Environment and Water",Tier 2,Establishing Environment Protection Australia (EPA),Not reported,Medium-Low,Active,121,NFP,30.06.2027,"The aim of this project is to establish a new independent Commonwealth agency, known as Environment Protection Australia, to enforce national environmental laws and restore confidence in Australia’s environmental protection system. The funding usage includes both operating costs and one-off transitional costs."
"Climate Change, Energy, the Environment and Water","Department of Climate Change, Energy, the Environment and Water",Tier 2,Capturing Australia's Emissions Reduction Data,,Medium-High,Active,21.8,13.8,30.06.2026,"The aim of this project is to support and enhance core IT systems for the ongoing delivery of Australia’s National Greenhouse Accounts (historical and projected greenhouse gas emissions estimates) to fulfil legislative and international treaty reporting obligations, track progress against national emissions reduction targets, inform national and sectoral decarbonisation plans and 2035 target setting, and enable continued delivery of tools required for the Australian Carbon Credit Unit (ACCU) scheme."
"Climate Change, Energy, the Environment and Water","Department of Climate Change, Energy, the Environment and Water",Tier 2,Improve Energy Planning,Not reported,Not reported,Active,18.9,8.3,1.06.2026,"This measure seeks to improve energy planning and inform investment in energy networks and enabling infrastructure, including by developing new or improved energy forecasting models that enable more granular and integrated analysis of future energy demand."
"Climate Change, Energy, the Environment and Water",Murray-Darling Basin Authority,Tier 2,Basin Plan Review ICT and Data Project,Not reported,Medium-High,Active,103.7,14.5,31.12.2026,"This project is implementing the Australian Government’s commitment to safeguard and future-proof the Murray-Darling Basin by preparing for, and undertaking in full, the statutory Basin Plan Review. Outcomes include enabling data and ICT required to support the review, making data and information publicly available and accessible to a range of audiences, and managing delivery of the work program."
"Climate Change, Energy, the Environment and Water",Inspector-General of Water Compliance,Tier 3,IGWC ICT Enabling Systems,,,Active,1.3,1.3,30.06.2025,"The Inspector-General of Water Compliance is a statutory authority with oversight and regulatory functions for managing water use in the Murray-Darling Basin, established by the Australian Government. To help manage these legislative objectives, this project will assess and design future state solutions for technology that will support establishing secure and integrated data and information management systems that align with whole-of-Australian Government security standards."
"Climate Change, Energy, the Environment and Water",Bureau of Meteorology,Tier 3,National Climate Risk Assessment - Technical Delivery Stream,Not reported,,Active,19.1,0.2,30.06.2025,"The National Climate Risk Assessment is intended to identify and analyse nationally significant climate-related risks for Australia for action by the National Adaptation Plan. These are risks whose consequences would be pervasive and prolonged, and thus will require a national coordinated response."
"Climate Change, Energy, the Environment and Water","Department of Climate Change, Energy, the Environment and Water",Tier 3,Waste and Resource Recovery Data Program,,,Closed,20.6,20.6,30.06.2024,"The program aims to present publicly available national data on waste and resource recovery online, and in visual form to support understanding. Work with state and territory governments will seek to standardise definitions and waste reporting."
"Climate Change, Energy, the Environment and Water","Department of Climate Change, Energy, the Environment and Water",Tier 3,Online Data Collection and Reporting Mechanism for the DEF Market,Not reported,,Active,4.6,4.6,30.06.2025,The purpose of the market transparency measure for the Diesel Exhaust Fluid (DEF) sector is to establish a data collection and reporting framework for the DEF market to increase transparency and assist in avoiding future supply shortages.
"Climate Change, Energy, the Environment and Water","Department of Climate Change, Energy, the Environment and Water",Tier 3,Digital Environmental Assessment Program,Not reported,,Active,52.5,42,30.06.2026,The Sustaining Environmental Assessments measure provided funds to extend this workflow system to include a searchable public register of Environment Protection and Biodiversity Conservation Act 1999 offsets (the National Environmental Offset System) and for integration with the compliance investigations ICT system. This work includes design of functional interfaces with the systems being developed for compliance purposes and risk rating so that these systems can operate in the future as modules of a more comprehensive approach to managing information relevant to the protection of the environment.
